target_class,threshold,score_available_n,flagged_n,unflagged_n,flagged_rate,unflagged_rate
human,0.05,6720367,283602,6436765,0.042200373878390866,0.9577996261216092
human,0.1,6720367,203439,6516928,0.03027200746625891,0.9697279925337411
human,0.2,6720367,168560,6551807,0.02508196352967033,0.9749180364703297
human,0.25,6720367,158614,6561753,0.023601984832078367,0.9763980151679217
human,0.3,6720367,150701,6569666,0.02242451937520674,0.9775754806247933
human,0.5,6720367,125018,6595349,0.01860285308823164,0.9813971469117684
human,0.7,6720367,95594,6624773,0.014224520773939875,0.9857754792260601
animal,0.05,6720367,4964104,1756263,0.7386656115655589,0.2613343884344412
animal,0.1,6720367,4706979,2013388,0.700405052283603,0.29959494771639705
animal,0.2,6720367,4349775,2370592,0.6472525979607959,0.3527474020392041
animal,0.25,6720367,4246582,2473785,0.631897335368738,0.36810266463126196
animal,0.3,6720367,4163032,2557335,0.6194649786239352,0.3805350213760647
animal,0.5,6720367,3896016,2824351,0.5797326247212392,0.4202673752787608
animal,0.7,6720367,3559631,3160736,0.5296780666889175,0.4703219333110826
vehicle,0.05,6720367,468137,6252230,0.06965943973000284,0.9303405602699971
vehicle,0.1,6720367,401336,6319031,0.0597193575886555,0.9402806424113445
vehicle,0.2,6720367,335119,6385248,0.04986617546333407,0.950133824536666
vehicle,0.25,6720367,312395,6407972,0.0464848125109834,0.9535151874890166
vehicle,0.3,6720367,291359,6429008,0.04335462631728297,0.9566453736827171
vehicle,0.5,6720367,215996,6504371,0.03214050661221329,0.9678594933877868
vehicle,0.7,6720367,141641,6578726,0.02107637871562669,0.9789236212843733
