threshold,category,category_n,detected_n,missed_n,detection_rate,miss_rate,detection_ci_low,detection_ci_high,miss_ci_low,miss_ci_high
0.01,all_humans,108,107,1,0.9907407407407407,0.009259259259259259,0.9494065448063366,0.9983636391461163,0.0016363608538834916,0.050593455193663206
0.01,any_sensitive_human,49,48,1,0.9795918367346939,0.02040816326530612,0.893064784766084,0.9963883274101748,0.0036116725898252544,0.10693521523391615
0.01,benign_human,59,59,0,1.0,0.0,0.9388706294732116,1.0,0.0,0.06112937052678836
0.01,privacy_sensitive_human,36,35,1,0.9722222222222222,0.027777777777777776,0.8583028134672613,0.9950795928601893,0.0049204071398104565,0.14169718653273852
0.01,recognisable_human,39,38,1,0.9743589743589743,0.02564102564102564,0.8681900983014994,0.9954592968990099,0.004540703100990098,0.1318099016985007
0.01,safeguarding_sensitive_human,13,13,0,1.0,0.0,0.7719046276458016,0.9999999999999999,0.0,0.2280953723541983
0.05,all_humans,108,97,11,0.8981481481481481,0.10185185185185185,0.8267749385359173,0.9421706824066391,0.05782931759336082,0.1732250614640827
0.05,any_sensitive_human,49,45,4,0.9183673469387755,0.08163265306122448,0.8081087240342871,0.9677971823322363,0.032202817667763686,0.19189127596571287
0.05,benign_human,59,52,7,0.8813559322033898,0.11864406779661017,0.7747635960001832,0.941324172242097,0.05867582775790306,0.2252364039998169
0.05,privacy_sensitive_human,36,33,3,0.9166666666666666,0.08333333333333333,0.7817330875072737,0.9712513886640066,0.028748611335993393,0.21826691249272628
0.05,recognisable_human,39,35,4,0.8974358974358975,0.10256410256410256,0.7642114553714348,0.9593866865533163,0.0406133134466838,0.23578854462856524
0.05,safeguarding_sensitive_human,13,12,1,0.9230769230769231,0.07692307692307693,0.6668604907890041,0.9862895787574433,0.013710421242556586,0.3331395092109958
0.1,all_humans,108,91,17,0.8425925925925926,0.1574074074074074,0.7623129098457861,0.899337973290832,0.10066202670916788,0.23768709015421371
0.1,any_sensitive_human,49,42,7,0.8571428571428571,0.14285714285714285,0.733322937760856,0.9290357627959324,0.07096423720406762,0.26667706223914406
0.1,benign_human,59,49,10,0.8305084745762712,0.1694915254237288,0.71536779263512,0.9052416065081895,0.09475839349181055,0.2846322073648801
0.1,privacy_sensitive_human,36,32,4,0.8888888888888888,0.1111111111111111,0.7468519140963514,0.9559335969968434,0.04406640300315648,0.25314808590364857
0.1,recognisable_human,39,34,5,0.8717948717948718,0.1282051282051282,0.7329425662025455,0.9439718246302862,0.05602817536971394,0.2670574337974545
0.1,safeguarding_sensitive_human,13,10,3,0.7692307692307693,0.23076923076923078,0.49743624053272506,0.9182047128150144,0.08179528718498563,0.5025637594672749
0.2,all_humans,108,91,17,0.8425925925925926,0.1574074074074074,0.7623129098457861,0.899337973290832,0.10066202670916788,0.23768709015421371
0.2,any_sensitive_human,49,42,7,0.8571428571428571,0.14285714285714285,0.733322937760856,0.9290357627959324,0.07096423720406762,0.26667706223914406
0.2,benign_human,59,49,10,0.8305084745762712,0.1694915254237288,0.71536779263512,0.9052416065081895,0.09475839349181055,0.2846322073648801
0.2,privacy_sensitive_human,36,32,4,0.8888888888888888,0.1111111111111111,0.7468519140963514,0.9559335969968434,0.04406640300315648,0.25314808590364857
0.2,recognisable_human,39,34,5,0.8717948717948718,0.1282051282051282,0.7329425662025455,0.9439718246302862,0.05602817536971394,0.2670574337974545
0.2,safeguarding_sensitive_human,13,10,3,0.7692307692307693,0.23076923076923078,0.49743624053272506,0.9182047128150144,0.08179528718498563,0.5025637594672749
0.25,all_humans,108,91,17,0.8425925925925926,0.1574074074074074,0.7623129098457861,0.899337973290832,0.10066202670916788,0.23768709015421371
