target_class,relative_bbox_group,annotated_n,evaluable_n,manual_positive_n,manual_negative_n,manual_positive_rate,manual_positive_ci_low,manual_positive_ci_high
human,very_small,49,48,21,27,0.4375,0.30701269040654244,0.5772498258017222
human,small,66,62,24,38,0.3870967741935484,0.2758464516711387,0.5115215646098163
human,medium,60,55,14,41,0.2545454545454545,0.15812114773072916,0.38301871281765865
human,large,70,58,22,36,0.3793103448275862,0.2656427267728758,0.5079719280723111
animal,very_small,42,37,6,31,0.16216216216216217,0.07651207234011151,0.3113648370093497
animal,small,57,48,15,33,0.3125,0.19945683446587817,0.4533307141589159
animal,medium,63,56,30,26,0.5357142857142857,0.40704181935661177,0.6598014708777623
animal,large,57,48,30,18,0.625,0.4836276351921527,0.747847332391318
vehicle,very_small,49,47,10,37,0.2127659574468085,0.11989707998095003,0.349040267091984
vehicle,small,62,56,20,36,0.35714285714285715,0.24456571707649905,0.48806112198600476
vehicle,medium,52,51,15,36,0.29411764705882354,0.18708726420135474,0.42999075575686413
vehicle,large,60,58,20,38,0.3448275862068966,0.23561089331950172,0.47332223433859577
