target_class,sampling_confidence_band,annotated_n,evaluable_n,manual_positive_n,manual_negative_n,manual_positive_rate,manual_positive_rate_ci_low,manual_positive_rate_ci_high
animal,0.01_to_0.02,23,21,0,21,0.0,0.0,0.15463901892484688
animal,0.02_to_0.05,36,33,1,32,0.030303030303030304,0.005369410536871844,0.15318725382118914
animal,0.05_to_0.10,34,27,5,22,0.18518518518518517,0.08180707142976532,0.36698683618548433
animal,0.10_to_0.30,27,21,3,18,0.14285714285714285,0.04981012499725268,0.3463606028062094
animal,0.30_to_0.70,40,32,18,14,0.5625,0.39325591136851984,0.7183466888495962
animal,0.70_to_0.90,23,19,18,1,0.9473684210526315,0.753612688331012,0.9906480059376995
animal,0.90_to_1.00,36,36,36,0,1.0,0.9035813714055363,1.0
human,0.01_to_0.02,37,36,2,34,0.05555555555555555,0.015369986664161839,0.18144657208647247
human,0.02_to_0.05,37,32,5,27,0.15625,0.06864420282505711,0.3175414959753039
human,0.05_to_0.10,37,34,3,31,0.08823529411764706,0.03046594367464857,0.22960486562808868
human,0.10_to_0.30,32,27,3,24,0.1111111111111111,0.0385203482830984,0.2805780081827982
human,0.30_to_0.70,38,36,13,23,0.3611111111111111,0.22475592946515371,0.5242492451444194
human,0.70_to_0.90,36,31,29,2,0.9354838709677419,0.7928136326370188,0.9821252164780854
human,0.90_to_1.00,28,27,26,1,0.9629629629629629,0.8171653406642416,0.9934318540192151
vehicle,0.01_to_0.02,24,23,1,22,0.043478260869565216,0.007716666143453135,0.20991155070258866
vehicle,0.02_to_0.05,30,30,1,29,0.03333333333333333,0.005908590381612455,0.1667039099140917
vehicle,0.05_to_0.10,38,37,3,34,0.08108108108108109,0.02796057410044797,0.21300679349288384
vehicle,0.10_to_0.30,42,41,6,35,0.14634146341463414,0.0688424814129593,0.28443458042480957
vehicle,0.30_to_0.70,36,32,13,19,0.40625,0.2551963484266544,0.5773997512461714
vehicle,0.70_to_0.90,30,27,20,7,0.7407407407407407,0.5532142868544692,0.8682962543809281
vehicle,0.90_to_1.00,23,22,21,1,0.9545454545454546,0.7820195416134269,0.9919305723787363
