target_class,threshold,sampling_time_window,evaluable_n,manual_positive_n,manual_negative_n,predicted_positive_n,predicted_negative_n,tp,fp,fn,tn,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,fpr,fnr,f1,predicted_positive_rate,precision_sparse,recall_sparse
human,0.1,overnight,192,18,174,33,159,15,18,3,156,0.45454545454545453,0.2984293851387611,0.6201406146378252,0.8333333333333334,0.6077796189608428,0.9416342319413854,0.896551724137931,0.10344827586206896,0.16666666666666666,0.5882352941176471,0.171875,False,False
human,0.1,morning_transition,202,26,176,30,172,22,8,4,168,0.7333333333333333,0.555520383048111,0.8581733668040368,0.8461538461538461,0.6646880067178653,0.9384996627642164,0.9545454545454546,0.045454545454545456,0.15384615384615385,0.7857142857142856,0.1485148514851485,False,False
human,0.1,daytime_core,210,35,175,46,164,32,14,3,161,0.6956521739130435,0.5519435355159236,0.8092015919723275,0.9142857142857143,0.776207260341035,0.9704176317330302,0.92,0.08,0.08571428571428572,0.7901234567901234,0.21904761904761905,False,False
human,0.1,evening_transition,205,29,176,40,165,22,18,7,158,0.55,0.3982909179893206,0.6929469218909508,0.7586206896551724,0.5789239838218867,0.8778157755747991,0.8977272727272727,0.10227272727272728,0.2413793103448276,0.6376811594202898,0.1951219512195122,False,False
human,0.3,overnight,192,18,174,24,168,15,9,3,165,0.625,0.42709962442674276,0.7884063244045122,0.8333333333333334,0.6077796189608428,0.9416342319413854,0.9482758620689655,0.05172413793103448,0.16666666666666666,0.7142857142857143,0.125,False,False
human,0.3,morning_transition,202,26,176,26,176,22,4,4,172,0.8461538461538461,0.6646880067178653,0.9384996627642164,0.8461538461538461,0.6646880067178653,0.9384996627642164,0.9772727272727273,0.022727272727272728,0.15384615384615385,0.8461538461538461,0.12871287128712872,False,False
human,0.3,daytime_core,210,35,175,37,173,30,7,5,168,0.8108108108108109,0.6579530307016159,0.9052002126968799,0.8571428571428571,0.7062444591340485,0.9373976892056629,0.96,0.04,0.14285714285714285,0.8333333333333334,0.1761904761904762,False,False
human,0.3,evening_transition,205,29,176,30,175,21,9,8,167,0.7,0.5212421254128505,0.833352517317562,0.7241379310344828,0.5428286758313405,0.8530124489791204,0.9488636363636364,0.05113636363636364,0.27586206896551724,0.711864406779661,0.14634146341463414,False,False
human,0.5,overnight,192,18,174,19,173,14,5,4,169,0.7368421052631579,0.5120844910218489,0.8819358765321748,0.7777777777777778,0.5478541568378738,0.909990718913983,0.9712643678160919,0.028735632183908046,0.2222222222222222,0.7567567567567567,0.09895833333333333,False,False
human,0.5,morning_transition,202,26,176,22,180,20,2,6,174,0.9090909090909091,0.7218505315839419,0.9747045710090048,0.7692307692307693,0.5794844592105632,0.8896615059421671,0.9886363636363636,0.011363636363636364,0.23076923076923078,0.8333333333333333,0.10891089108910891,False,False
human,0.5,daytime_core,210,35,175,31,179,27,4,8,171,0.8709677419354839,0.7114759374369357,0.9486571562537085,0.7714285714285715,0.6098268310800976,0.8793412016580833,0.9771428571428571,0.022857142857142857,0.22857142857142856,0.8181818181818182,0.14761904761904762,False,False
human,0.5,evening_transition,205,29,176,23,182,20,3,9,173,0.8695652173913043,0.6787251772990404,0.9546234090636876,0.6896551724137931,0.5076986576690685,0.8272438325551679,0.9829545454545454,0.017045454545454544,0.3103448275862069,0.7692307692307693,0.11219512195121951,False,False
animal,0.1,overnight,178,45,133,65,113,43,22,2,111,0.6615384615384615,0.5403837691551205,0.7646649668790333,0.9555555555555556,0.8517248923056439,0.9877258732932802,0.8345864661654135,0.16541353383458646,0.044444444444444446,0.7818181818181817,0.3651685393258427,False,False
animal,0.1,morning_transition,193,52,141,67,126,47,20,5,121,0.7014925373134329,0.5834478625635624,0.7976848872339728,0.9038461538461539,0.7939036987986837,0.9582256489474276,0.8581560283687943,0.14184397163120568,0.09615384615384616,0.7899159663865547,0.3471502590673575,False,False
animal,0.1,daytime_core,203,49,154,74,129,44,30,5,124,0.5945945945945946,0.48075838906407947,0.6990943553744422,0.8979591836734694,0.7824363845080411,0.9556204532552373,0.8051948051948052,0.19480519480519481,0.10204081632653061,0.7154471544715447,0.3645320197044335,False,False
animal,0.1,evening_transition,186,52,134,66,120,45,21,7,113,0.6818181818181818,0.5621255011195574,0.7815099326937003,0.8653846153846154,0.7472667983480621,0.9332311829460385,0.8432835820895522,0.15671641791044777,0.1346153846153846,0.7627118644067796,0.3548387096774194,False,False
animal,0.3,overnight,178,45,133,51,127,38,13,7,120,0.7450980392156863,0.6113171816155626,0.844542318434177,0.8444444444444444,0.7121609112760374,0.9225457651524174,0.9022556390977443,0.09774436090225563,0.15555555555555556,0.7916666666666666,0.28651685393258425,False,False
animal,0.3,morning_transition,193,52,141,53,140,45,8,7,133,0.8490566037735849,0.7294575072380467,0.9214758214915375,0.8653846153846154,0.7472667983480621,0.9332311829460385,0.9432624113475178,0.05673758865248227,0.1346153846153846,0.8571428571428571,0.27461139896373055,False,False
animal,0.3,daytime_core,203,49,154,54,149,42,12,7,142,0.7777777777777778,0.6506132834036111,0.8680458343236688,0.8571428571428571,0.733322937760856,0.9290357627959324,0.922077922077922,0.07792207792207792,0.14285714285714285,0.8155339805825242,0.2660098522167488,False,False
animal,0.3,evening_transition,186,52,134,54,132,43,11,9,123,0.7962962962962963,0.6709769331166456,0.8822594591257861,0.8269230769230769,0.702691358755192,0.9061752560868979,0.917910447761194,0.08208955223880597,0.17307692307692307,0.8113207547169811,0.2903225806451613,False,False
animal,0.5,overnight,178,45,133,41,137,36,5,9,128,0.8780487804878049,0.7445578847902312,0.9467666353142228,0.8,0.6617703088385799,0.8910387319216871,0.9624060150375939,0.03759398496240601,0.2,0.8372093023255814,0.2303370786516854,False,False
animal,0.5,morning_transition,193,52,141,45,148,43,2,9,139,0.9555555555555556,0.8517248923056439,0.9877258732932802,0.8269230769230769,0.702691358755192,0.9061752560868979,0.9858156028368794,0.014184397163120567,0.17307692307692307,0.88659793814433,0.23316062176165803,False,False
