target_class,threshold,validation_sample_precision,validation_precision_ci_low,validation_precision_ci_high,poststratified_manual_positive_rate,coverage_fraction,difference_adjusted_minus_validation,absolute_difference
animal,0.01,0.44786729857819907,0.4011049581124442,0.4955702032918692,0.6926874999248172,1.0,0.24482020134661808,0.24482020134661808
animal,0.05,0.5867507886435331,0.5318210970673841,0.6396031328378208,0.7778678783092762,1.0,0.19111708966574303,0.19111708966574303
animal,0.1,0.6580882352941176,0.5998653658989186,0.7119079272372042,0.8182325579209827,1.0,0.16014432262686507,0.16014432262686507
animal,0.3,0.7924528301886793,0.7328945303950045,0.8416012160547564,0.9054343251024307,1.0,0.11298149491375142,0.11298149491375142
animal,0.7,0.9652777777777778,0.9212970800343208,0.9850792576242422,0.9671308391850408,1.0,0.0018530614072630458,0.0018530614072630458
animal,0.9,0.9887640449438202,0.9390675378849535,0.9980138167717437,1.0,1.0,0.011235955056179803,0.011235955056179803
human,0.01,0.3440514469453376,0.293445178184407,0.3984632497483876,0.2641628673501944,1.0,-0.07988857959514323,0.07988857959514323
human,0.05,0.5,0.43032781311103535,0.5696721868889647,0.4897771552573333,1.0,-0.010222844742666715,0.010222844742666715
human,0.1,0.610738255033557,0.53060554577487,0.6853044583210339,0.6314455609059944,1.0,0.020707305872437298,0.020707305872437298
human,0.3,0.7521367521367521,0.6667224221025372,0.8215206078624093,0.7714007603534146,1.0,0.01926400821666252,0.01926400821666252
human,0.7,0.9452054794520548,0.8674100245784025,0.9784875025843028,0.9720665122955543,1.0,0.0268610328434995,0.0268610328434995
human,0.9,0.9714285714285714,0.8546691276638634,0.9949385081445559,0.9952960045962703,1.0,0.023867433167698904,0.023867433167698904
vehicle,0.01,0.3553113553113553,0.30090500783846696,0.4137331090948533,0.30525137295590976,1.0,-0.050059982355445565,0.050059982355445565
vehicle,0.05,0.4595959595959596,0.39160784614192096,0.5291220173188184,0.4225528154738172,1.0,-0.037043144122142435,0.037043144122142435
vehicle,0.1,0.5605095541401274,0.48234723611809394,0.6357815109059005,0.4792720173709998,1.0,-0.0812375367691276,0.0812375367691276
vehicle,0.3,0.7297297297297297,0.6404595664697533,0.8036309259684177,0.6132575432083913,1.0,-0.1164721865213384,0.1164721865213384
vehicle,0.7,0.8823529411764706,0.784650962802083,0.9391650739766866,0.833869025702444,1.0,-0.04848391547402653,0.04848391547402653
vehicle,0.9,0.9705882352941176,0.8508442670731409,0.9947890937237311,0.974799371323792,1.0,0.004211136029674378,0.004211136029674378
